State,Year,Visitors
Labuan,2017,381.0047677
Melaka,2017,12624.98481
Kuala Lumpur,2017,19049.44248
Selangor,2017,25491.16105
Kedah,2017,13304.53493
Johor,2017,13140.63973
Penang,2017,12642.64328
Negeri Sembilan,2017,10822.32055
Perlis,2017,1413.610533
Perak,2017,20109.71007
Pahang,2017,16491.33914
Sabah,2017,17791.71264
Putrajaya,2017,1871.857684
Terengganu,2017,12979.37637
Kelantan,2017,9623.663823
Sarawak,2017,17670.34745
Labuan,2018,544.9320221
Melaka,2018,13122.60416
Kuala Lumpur,2018,19165.49717
Selangor,2018,30179.0472
Kedah,2018,14480.0184
Johor,2018,13487.23791
Penang,2018,14450.49119
Negeri Sembilan,2018,12802.11891
Perlis,2018,2155.507903
Perak,2018,17553.16121
Pahang,2018,18111.35658
Sabah,2018,20359.88109
Putrajaya,2018,1891.906993
Terengganu,2018,13742.36636
Kelantan,2018,9846.123436
Sarawak,2018,19380.2302
Labuan,2019,523.8702531
Melaka,2019,13978.97417
Kuala Lumpur,2019,22633.3677
Selangor,2019,33588.52696
Kedah,2019,14831.15551
Johor,2019,14274.36427
Penang,2019,15410.62523
Negeri Sembilan,2019,13303.04184
Perlis,2019,2087.372446
Perak,2019,21070.72091
Pahang,2019,18497.57835
Sabah,2019,22035.06747
Putrajaya,2019,1948.889218
Terengganu,2019,14158.28363
Kelantan,2019,10985.65201
Sarawak,2019,19793.37569
Labuan,2020,107.53
Melaka,2020,7274.547
Kuala Lumpur,2020,12434.908
Selangor,2020,19714.734
Kedah,2020,10108.084
Johor,2020,7242.508
Penang,2020,8929.515
Negeri Sembilan,2020,7917.736
Perlis,2020,1193.108
Perak,2020,13173.306
Pahang,2020,9905.002
Sabah,2020,10336.897
Putrajaya,2020,451.113
Terengganu,2020,7419.729
Kelantan,2020,6058.183
Sarawak,2020,9393.255
Labuan,2021,53.899
Melaka,2021,3878.14
Kuala Lumpur,2021,9116.005
Selangor,2021,10211.58
Kedah,2021,4023.002
Johor,2021,3657.55
Penang,2021,5060.864
Negeri Sembilan,2021,5485.17
Perlis,2021,406.796
Perak,2021,4489.273
Pahang,2021,3404.772
Sabah,2021,3815.016
Putrajaya,2021,223.006
Terengganu,2021,3719.052
Kelantan,2021,1920.93
Sarawak,2021,6510.9
Labuan,2022,243.695
Melaka,2022,11757.166
Kuala Lumpur,2022,16912.534
Selangor,2022,21989.558
Kedah,2022,11186.197
Johor,2022,12376.202
Penang,2022,10002.735
Negeri Sembilan,2022,11490.144
Perlis,2022,1669.175
Perak,2022,14566.727
Pahang,2022,13188.959
Sabah,2022,12589.005
Putrajaya,2022,1305.808
Terengganu,2022,10233.282
Kelantan,2022,6627.155
Sarawak,2022,15464.621
Labuan,2023,331.36
Melaka,2023,15558.661
Kuala Lumpur,2023,22232.643
Selangor,2023,27579.478
Kedah,2023,13444.055
Johor,2023,15804.89
Penang,2023,13127.587
Negeri Sembilan,2023,14959.47
Perlis,2023,1950.771
Perak,2023,17107.518
Pahang,2023,16455.567
Sabah,2023,16080.074
Putrajaya,2023,1900.379
Terengganu,2023,11760.516
Kelantan,2023,7549.37
Sarawak,2023,17901.19
